event_id|container_id|port|warehouse_id|supplier_name|product_category|container_type|arrival_date|customs_release_date|warehouse_eta|actual_warehouse_arrival|declared_value_usd|container_weight_kg|inspection_status|transport_mode|processed_at|source_file
IMP-MTL-001|CONT-MTL-7001|Montreal|WH_QC_01|Laurentian Electronics|Electronics|Dry|2026-06-20|2026-06-21|2026-06-23|2026-06-23|56000.0|13200.0|Released|Rail|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-002|CONT-MTL-7002|Montreal|WH_QC_02|St Lawrence Auto Parts|Auto Parts|Dry|2026-06-20|2026-06-22|2026-06-24|2026-06-25|42000.0|20100.0|Held|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-003|CONT-MTL-7003|Montreal|WH_ON_01|Quebec Apparel House|Apparel|Dry|2026-06-21|2026-06-22|2026-06-24|2026-06-24|13500.0|7400.0|Released|Intermodal|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-004|CONT-MTL-7004|Montreal|WH_QC_03|Maple Food Ingredients|Food Ingredients|Reefer|2026-06-21|2026-06-23|2026-06-25|2026-06-28|33000.0|18200.0|Inspection Required|Rail|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-005|CONT-MTL-7005|Montreal|WH_QC_04|Medline Quebec|Medical Supplies|Dry|2026-06-22|2026-06-23|2026-06-25|2026-06-25|84000.0|9900.0|Released|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-006|CONT-MTL-7006|Montreal|WH_ON_02|Eastern Industrial Works|Industrial Equipment|Flat Rack|2026-06-22|2026-06-24|2026-06-26|2026-06-30|91000.0|28500.0|Held|Rail|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-007|CONT-MTL-7007|Montreal|WH_QC_05|RiverTech Imports|Electronics|Dry|2026-06-23|2026-06-24|2026-06-25|2026-06-25|24000.0|11800.0|Released|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-008|CONT-MTL-7008|Montreal|WH_QC_06|Mode Nord Apparel|Apparel|Dry|2026-06-23|2026-06-24|2026-06-26|2026-06-26|16000.0|8100.0|Released|Intermodal|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-009|CONT-MTL-7009|Montreal|WH_ON_03|Great Lakes Auto Group|Auto Parts|Dry|2026-06-24|2026-06-24|2026-06-26|2026-06-27|58500.0|21800.0|Released|Rail|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-010|CONT-MTL-7010|Montreal|WH_QC_07|BioCare Imports|Medical Supplies|Dry|2026-06-24|2026-06-25|2026-06-26|2026-06-26|65000.0|10800.0|Released|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-011|CONT-MTL-7011|Montreal|WH_QC_08|Rejected Machine Works|Industrial Equipment|Open Top|2026-06-24|2026-06-25|2026-06-27|2026-06-29|99000.0|30100.0|Rejected|Rail|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-012|CONT-MTL-7012|Montreal|WH_QC_09|Quebec Food Blends|Food Ingredients|Reefer|2026-06-24|2026-06-24|2026-06-25|2026-06-25|27500.0|17200.0|Released|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-014|CONT-MTL-7014|Montreal|WH_QC_10|Future Arrival Traders|Electronics|Dry|2026-06-26|2026-06-26|2026-06-27|2026-06-27|39000.0|12500.0|Released|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-017|CONT-MTL-7017|Montreal|WH_QC_12|Clean Apparel Supply|Apparel|Dry|2026-06-23|2026-06-24|2026-06-25|2026-06-25|14500.0|7600.0|Released|Truck|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
IMP-MTL-018|CONT-MTL-7018|Montreal|WH_QC_13|Heavy Medical Systems|Medical Supplies|Dry|2026-06-22|2026-06-24|2026-06-26|2026-06-28|70500.0|22500.0|Inspection Required|Intermodal|2026-07-21 04:22:04.121016|import_events_port_montreal_2026_06_25.json
