receipt_id|purchase_order_id|asn_id|supplier_id|supplier_name|warehouse|sku|ordered_qty|shipped_qty|received_qty|damaged_qty|unit_cost|order_date|promised_delivery_date|ship_date|receipt_date|receipt_status|carrier|dock_door|notes
RCV-WH-CGY-001|PO-202608-1001|ASN-WH-CGY-2001|SUP-101|Prairie Industrial Supply|Calgary|SKU-1001|50|50|50|1|25.0|2026-08-03|2026-08-10|2026-08-05|2026-08-10|Received|NorthLine Freight|D-05|Pallet wrap damaged
RCV-WH-CGY-003|PO-202608-1003|ASN-WH-CGY-2003|SUP-103|Rocky Mountain Packaging|Calgary|SKU-1003|50|50|47|1|4.75|2026-08-03|2026-08-09|2026-08-04|2026-08-08|Received|Prairie Haul|D-04|Late carrier arrival
RCV-WH-CGY-004|PO-202608-1004|ASN-WH-CGY-2004|SUP-104|Westline Safety Products|Calgary|SKU-1004|120|120|120|1|7.5|2026-08-09|2026-08-13|2026-08-12|2026-08-13|Rejected|Arctic Route Transport|D-07|Late carrier arrival
RCV-WH-CGY-006|PO-202608-1006|ASN-WH-CGY-2006|SUP-101|Prairie Industrial Supply|Calgary|SKU-1006|40|35|35|0|88.4|2026-08-09|2026-08-15|2026-08-10|2026-08-16|Received|NorthLine Freight|D-03|Late carrier arrival
RCV-WH-CGY-007|PO-202608-1007|ASN-WH-CGY-2007|SUP-102|Northern Components Ltd|Calgary|SKU-1007|20|15|15|0|4.75|2026-08-01|2026-08-04|2026-08-02|2026-08-06|Rejected|Prairie Haul|D-03|Seal intact
RCV-WH-CGY-009|PO-202608-1009|ASN-WH-CGY-2009|SUP-104|Westline Safety Products|Calgary|SKU-1001|100|100|100|0|42.75|2026-08-08|2026-08-14|2026-08-10|2026-08-13|Rejected|Prairie Haul|D-04|Pallet wrap damaged
RCV-WH-CGY-010|PO-202608-1010|ASN-WH-CGY-2010|SUP-105|Aurora Equipment Parts|Calgary|SKU-1002|75|75|75|0|12.25|2026-08-05|2026-08-10|2026-08-06|2026-08-10|Received|NorthLine Freight|D-01|Late carrier arrival
RCV-WH-CGY-012|PO-202608-1012|ASN-WH-CGY-2012|SUP-102|Northern Components Ltd|Calgary|SKU-1004|40|40|37|1|18.9|2026-08-08|2026-08-14|2026-08-10|2026-08-14|Partial|Prairie Haul|D-08|Seal intact
RCV-WH-CGY-013|PO-202608-1013|ASN-WH-CGY-2013|SUP-103|Rocky Mountain Packaging|Calgary|SKU-1005|100|105|102|2|18.9|2026-08-08|2026-08-12|2026-08-10|2026-08-12|Partial|Prairie Haul|D-05|Late carrier arrival
RCV-WH-CGY-013|PO-202608-1014|ASN-WH-CGY-2014|SUP-104|Westline Safety Products|Calgary|SKU-1006|50|55|55|1|25.0|2026-08-07|2026-08-14|2026-08-09|2026-08-14|Received|Arctic Route Transport|D-05|Count verified
RCV-WH-CGY-015|PO-202608-1015|ASN-WH-CGY-2015|SUP-105|Aurora Equipment Parts|Calgary|SKU-1007|30|35|35|0|25.0|2026-08-02|2026-08-05|2026-08-05|2026-08-05|Received|TransWest Logistics|D-05|
RCV-WH-CGY-016|PO-202608-1016|ASN-WH-CGY-2016|SUP-101|Prairie Industrial Supply|Calgary|SKU-1008|75|75|75|0|88.4|2026-08-06|2026-08-09|2026-08-08|2026-08-08|Partial|Arctic Route Transport|D-03|Count verified
RCV-WH-CGY-017|PO-202608-1017|ASN-WH-CGY-2017|SUP-102|Northern Components Ltd|Calgary|SKU-1001|30|25|25|0|18.9|2026-08-09|2026-08-15|2026-08-10|2026-08-17|Partial|Prairie Haul|D-01|
RCV-WH-CGY-018|PO-202608-1018|ASN-WH-CGY-2018|SUP-103|Rocky Mountain Packaging|Calgary|SKU-1002|30|25|25|0|18.9|2026-08-09|2026-08-13|2026-08-11|2026-08-15|Partial|Prairie Haul|D-05|
RCV-WH-CGY-020|PO-202608-1020|ASN-WH-CGY-2020|SUP-105|Aurora Equipment Parts|Calgary|SKU-1004|50|55|55|0|12.25|2026-08-06|2026-08-10|2026-08-07|2026-08-10|Received|TransWest Logistics|D-07|Pallet wrap damaged
RCV-WH-CGY-021|PO-202608-1021|ASN-WH-CGY-2021|SUP-101|Prairie Industrial Supply|Calgary|SKU-1005|50|55|55|2|25.0|2026-08-01|2026-08-06|2026-08-04|2026-08-05|Received|Arctic Route Transport|D-08|
RCV-WH-CGY-022|PO-202608-1022|ASN-WH-CGY-2022|SUP-102|Northern Components Ltd|Calgary|SKU-1006|100|95|95|0|18.9|2026-08-05|2026-08-08|2026-08-06|2026-08-10|Partial|TransWest Logistics|D-02|Count verified
